text,sentiment,text_length,clean_text
"gonna miss Chantell. :'( already said goodbye, i dont want her to go. shes at the airport already. mehh. ",negative,105,gonna miss chantell already said goodbye i dont want her to go shes at the airport already mehh
"@chocomeow Hey no problem, but follow me back!  It's kind of crazy you're halfway across the world from me, lol",positive,111,hey no problem but follow me back its kind of crazy youre halfway across the world from me lol
"I don't kno what's going on with me but I've felt sea sick all day  I'm bout to get myself together&amp; get out, maybe that will help â¥",negative,138,i dont kno whats going on with me but ive felt sea sick all day im bout to get myself togetheramp get out maybe that will help
culture shock is still goin!!!!!!!!! ,positive,37,culture shock is still goin
"A day of church, lunch, beachin it up, fambam time, workk, an graduation after partayy what a good day ",positive,103,a day of church lunch beachin it up fambam time workk an graduation after partayy what a good day
... sorry GPGMail ,positive,18,sorry gpgmail
@peace_love_rosa yes i did ,negative,27,yes i did
CRAZY day tomorow gotta be up early! last night 4 our grad 09 class 2 be 2gether is 2morrow night  NITE TWITTER BIRDS,negative,117,crazy day tomorow gotta be up early last night our grad class be gether is morrow night nite twitter birds
"coffee, heidelberg, and the very happy finger.. oh, life can be great...  - http://mobypicture.com/?y4pp7t",positive,106,coffee heidelberg and the very happy finger oh life can be great
@LBBChat let's go blue jays! Who's pitching for jays? I see it is 4-2? Can't belive I'm gunna miss the mets game ,negative,113,lets go blue jays whos pitching for jays i see it is cant belive im gunna miss the mets game
@rocketella Aaaw give the boys a lick for me will you please Ella? They're ever so good ,positive,88,aaaw give the boys a lick for me will you please ella theyre ever so good
@philipbloom I'd love to help out but it's a little bit too short notice. If it was in a few days maybe! Sorry.  Any luck with the email?,negative,137,id love to help out but its a little bit too short notice if it was in a few days maybe sorry any luck with the email
i worked on my car 2day but still a long way 2 go. i gotta wake up early in the mourning  but ima hop out the bed and turn my sexleader on,negative,138,i worked on my car day but still a long way go i gotta wake up early in the mourning but ima hop out the bed and turn my sexleader on
"The sun is shining, playground here I come ",positive,43,the sun is shining playground here i come
"@SophiaRecuenco Hello, baby! You're at my house now. ",positive,53,hello baby youre at my house now
Good music good friends and a good man. Life is good ,positive,53,good music good friends and a good man life is good
"Woke up really late today. Just had breakfast. Planning to stay home, watch TV shows and do nothing. Eat too. ",positive,110,woke up really late today just had breakfast planning to stay home watch tv shows and do nothing eat too
http://tinyurl.com/mzojmb Dunno if you can view this specific car - But I like it. Shame the mileage is higher than 80k.. ,negative,122,dunno if you can view this specific car but i like it shame the mileage is higher than k
beach betch...so mad that my bike &amp; ipod are not w/ me ,negative,59,beach betchso mad that my bike amp ipod are not w me
i feel mega ill i have a cold ear ache and sunstroke i think im gonna die. But the good thing is morgie is home 2day yay i missed him  xxx,positive,138,i feel mega ill i have a cold ear ache and sunstroke i think im gonna die but the good thing is morgie is home day yay i missed him xxx
"Roast chicken for dinner ... don't mean to brag but seriously, I make a wicked roast! ",positive,86,roast chicken for dinner dont mean to brag but seriously i make a wicked roast
hungry.very hungry.wah.but like theres nothing to eat.  sigh.ill eat air.air is good.,negative,85,hungryvery hungrywahbut like theres nothing to eat sighill eat airair is good
@jaydillaum who said you was nice ,positive,34,who said you was nice
creating various playlists for people  I love this job. No Genius whatsoever,positive,76,creating various playlists for people i love this job no genius whatsoever
About to leave denver ,negative,22,about to leave denver
I friggin stink of booze n smoke -- aarghhh oh my clean sheets  x,negative,65,i friggin stink of booze n smoke aarghhh oh my clean sheets x
"Can no longer watch the football, it's too depressing.  Shall return to the garden and cast on Whisper Cardigan ",positive,112,can no longer watch the football its too depressing shall return to the garden and cast on whisper cardigan
"OMFG....I swear I den missd Tyra this whole week!!!!!!! WTF, oh I need to get my life together yo!!...I feel terrible  LOL",negative,122,omfgi swear i den missd tyra this whole week wtf oh i need to get my life together yoi feel terrible lol
@Mzcertified  Clean Me!,negative,23,clean me
My feet are killing from work ,negative,30,my feet are killing from work
@dr_is_in Oh bother  Why can't people just be positive about stuff?,negative,67,oh bother why cant people just be positive about stuff
Its So hot today - got my stuff for the family BBQ though....they will be here soon. I love family days...shame sis can't come though ,negative,134,its so hot today got my stuff for the family bbq thoughthey will be here soon i love family daysshame sis cant come though
@dossan look at u tweeting. Didn't know u did. ,positive,47,look at u tweeting didnt know u did
@itshazel I mean AFTER a while... Mines only lasted a year ,negative,59,i mean after a while mines only lasted a year
"@gb_Joe wasn't able to get in, not sure why...kinda lame, but i'll be seeing the show in phx tomorrow so it's okay! ",positive,116,wasnt able to get in not sure whykinda lame but ill be seeing the show in phx tomorrow so its okay
needs someone to fetch me home after band tmr ,negative,46,needs someone to fetch me home after band tmr
"preparing for documentary filming later, office ready, staff ready, but construction crew destroying the sidewalk just outside our door ",negative,136,preparing for documentary filming later office ready staff ready but construction crew destroying the sidewalk just outside our door
watching anime... am so happy~  ,positive,32,watching anime am so happy
@storyfan   it has failed you,negative,29,it has failed you
@DramaMagazine I can't wait to see the photos of Tom Felton! I think you should release some preview shots  Please? x,positive,117,i cant wait to see the photos of tom felton i think you should release some preview shots please x
Everyone follow @BosUrbanMaMa Cause she is my sis and the coolest parent in the world. I wish you was my momma ,negative,111,everyone follow cause she is my sis and the coolest parent in the world i wish you was my momma
Hahahahaha! No longer associated with that gay ass high school ,positive,63,hahahahaha no longer associated with that gay ass high school
Moving out. Fun stuffs. ,positive,24,moving out fun stuffs
"@journeycoach I'm the same. I also try to remember that perfection does not exist, but in pursuit, one can achieve excellence. ",positive,127,im the same i also try to remember that perfection does not exist but in pursuit one can achieve excellence
Ernie:-readin a shirt Benny has on-You want some fries with this shake? Georqe: that is an unhappy meal pato!  haah,positive,115,erniereadin a shirt benny has onyou want some fries with this shake georqe that is an unhappy meal pato haah
I can't stop thinking about him. ,positive,33,i cant stop thinking about him
wtf yo im bored ,negative,16,wtf yo im bored
i can't send direct messages ,negative,29,i cant send direct messages
"twitter is rubishh , how do i talk to people ?!  facebook is easy!   no one pepeard me for this (N)  lol x",positive,106,twitter is rubishh how do i talk to people facebook is easy no one pepeard me for this n lol x
Just got back from a night of Mcfun.. sad to be done ,negative,53,just got back from a night of mcfun sad to be done
"Now I have to take a shower, then I think I will eat and go and vote! ",positive,70,now i have to take a shower then i think i will eat and go and vote
"@allyshaye it was sprinkling? meow, i hope it's sunny so we can have lots of fun, fun, funnn before/after classes ",positive,114,it was sprinkling meow i hope its sunny so we can have lots of fun fun funnn beforeafter classes
Feeling like I have the beginning of a head cold. God DNW ,negative,58,feeling like i have the beginning of a head cold god dnw
@Disho14 I know the feeling today!  I  need you here to make coffee ,negative,68,i know the feeling today i need you here to make coffee
NO!!!! Sergei Fedorov leaves the #Caps to play in Russia ,negative,57,no sergei fedorov leaves the caps to play in russia
@heartmychloe we'll come home to annapolis on saturday...  ,negative,59,well come home to annapolis on saturday
sunbathing now  x,positive,17,sunbathing now x
is now going to bed. ,positive,21,is now going to bed
@alejandrasua ''gave you everything but nothings ever good enough''  .. amo tus videos es OFFICIAL!! &lt;3,negative,106,gave you everything but nothings ever good enough amo tus videos es official lt
Mowing the lawn sucks  I wish my lawn was emo so that it could cut itself!,negative,74,mowing the lawn sucks i wish my lawn was emo so that it could cut itself
"@nearlyneutral Got your text, btw. I'd love to hang out in the afternoon today.  Just give me a text whenever you want to swing by.",positive,131,got your text btw id love to hang out in the afternoon today just give me a text whenever you want to swing by
Just got done doing CPR/running a Code...fun times at work today ,negative,65,just got done doing cprrunning a codefun times at work today
"yay! summer holidays are finally here, except now I have work experience! ",negative,74,yay summer holidays are finally here except now i have work experience
until we tweet again ,positive,21,until we tweet again
Cannot wait wait wait for my new make up line to come in next week!  ,positive,69,cannot wait wait wait for my new make up line to come in next week
Nostalgic/happy moment: I've just found Captain Planet complete series! Just in time for Children's Day ,positive,104,nostalgichappy moment ive just found captain planet complete series just in time for childrens day
@dannymcfly  was it ANNOTHER crazy night out  you see i never seem to find my invites to these  lol,negative,99,was it annother crazy night out you see i never seem to find my invites to these lol
@T_Billa You think you know me or something? ,positive,45,you think you know me or something
My vagina needs to be touched so bad! Going to sleep ,negative,53,my vagina needs to be touched so bad going to sleep
"Off to Chicago tomorrow! Shane is doing great! Loved teasing the Holmans dog, Woodrow for hrs. Shes great with the kids, esp baby Sarah! ",positive,137,off to chicago tomorrow shane is doing great loved teasing the holmans dog woodrow for hrs shes great with the kids esp baby sarah
&quot;you need to let your eyebrows grow up. don't you know that they're on your face?&quot; - my mom ,positive,102,quotyou need to let your eyebrows grow up dont you know that theyre on your facequot my mom
PET SOCiETY!  at facebook. im lovin' it.,positive,40,pet society at facebook im lovin it
i reallyyyy want to pass add maths. please don't let me fail. please don't let me fail ,negative,87,i reallyyyy want to pass add maths please dont let me fail please dont let me fail
"@alec94 twitter loser ;) damn, nobody will come jobros  hmmmph.",negative,63,twitter loser damn nobody will come jobros hmmmph
"Just asked Molls if she wanted to go out &amp; party like rock stars. But she's been slidin' down sand hills all day. So, the answer was no. ",negative,141,just asked molls if she wanted to go out amp party like rock stars but shes been slidin down sand hills all day so the answer was no
@Dayna_aka_Rowan So now I know what you're capable of producing in a day. ,positive,74,so now i know what youre capable of producing in a day
"A good Sunday, indeed ",positive,22,a good sunday indeed
"@KatherineHelena we're writing it together, so we're posting it on both sites ",positive,78,were writing it together so were posting it on both sites
has the blues... ,negative,17,has the blues
"Working form Home, Feel Bore! ",negative,30,working form home feel bore
"Leon just got up, really want to go back to sleep bit have to get up and go to the high school ",negative,95,leon just got up really want to go back to sleep bit have to get up and go to the high school
Too bad nobody USES Yahoo anymore  Yahoo Supports Even More Structured Data In SearchMonkey http://bit.ly/c84pf,negative,111,too bad nobody uses yahoo anymore yahoo supports even more structured data in searchmonkey
@brachiosaurid lol who from hs got so hot? ,positive,43,lol who from hs got so hot
You haven't seen a tree until you've seen its shadow from the sky.  ~Amelia Earhart - Goodnight all and God Bless! ,positive,115,you havent seen a tree until youve seen its shadow from the sky amelia earhart goodnight all and god bless
I don't have any money in my account so I can't use my debit card for it. I'm bummed. By the time i have money the trial will be over. ,negative,135,i dont have any money in my account so i cant use my debit card for it im bummed by the time i have money the trial will be over
@molz19 now why would they ever do something like that?? ,negative,57,now why would they ever do something like that
@Sewwychristine - I am afraid of the thumenis. ,negative,47,i am afraid of the thumenis
this is the scariest storm ever! i have never heard thunder like this.  #squarespace,negative,84,this is the scariest storm ever i have never heard thunder like this squarespace
Enjoyed tonight's graduating cohort's pep talk/Q&amp;A. Everything you wanted to know about getting through but were afraid to ask ,positive,131,enjoyed tonights graduating cohorts pep talkqampa everything you wanted to know about getting through but were afraid to ask
"@ThisisDavina bless bienazir, it was kind of hard to watch ",negative,59,bless bienazir it was kind of hard to watch
Has a fun night planned ,positive,24,has a fun night planned
"Me and my best friend, we posed as nerdy and Rambo. I decided to be Rambo  http://twitpic.com/3patj",positive,99,me and my best friend we posed as nerdy and rambo i decided to be rambo
@nefretiriii a friend overseas told me. i think we only get wolverine-drinking-in-japan version here ,negative,101,a friend overseas told me i think we only get wolverinedrinkinginjapan version here
amanda just tooted.  but i love her still. ,negative,43,amanda just tooted but i love her still
There are somethings u miss in life a lot more than u think.... missing my PIC like crazy today ,negative,96,there are somethings u miss in life a lot more than u think missing my pic like crazy today
@fancinematoday Glad you liked 'Pinch.'  You're welcome for the heads-up (though my first name is spelled with a Y),positive,115,glad you liked pinch youre welcome for the headsup though my first name is spelled with a y
Had Eriks devise updates turned off. Fixed it. ,positive,47,had eriks devise updates turned off fixed it
"I want to know the the song's name of  Veronica Mars's CM on AXN. Some people said that the song is FOW's ,but it is not correct ",negative,129,i want to know the the songs name of veronica marss cm on axn some people said that the song is fows but it is not correct
Just watched taken with the hubby  awesome movie ,positive,49,just watched taken with the hubby awesome movie
"@sarah_fn i knw the feeling,so fucked for tomorrow  im sad now lol",negative,66,i knw the feelingso fucked for tomorrow im sad now lol
"I am so annoyed this morning, my calling card screwed up and now i can't talk to my hubby, i am not a happy bunny ",negative,114,i am so annoyed this morning my calling card screwed up and now i cant talk to my hubby i am not a happy bunny
Lucas that sucks for u  i will be lost with out my cell phone chager,negative,68,lucas that sucks for u i will be lost with out my cell phone chager
this game is awesome.  http://bit.ly/MKGW0,positive,42,this game is awesome
@WayneCheng ooh where do i find one of these cute liittle monkeys that like to draft?  i will pay far monkey wages  #ilovemonkeys,positive,129,ooh where do i find one of these cute liittle monkeys that like to draft i will pay far monkey wages ilovemonkeys
@CathyBrooks Thanks. There are way more amazing and inspiring women simply impossible to fit into a couple of tweets ,positive,117,thanks there are way more amazing and inspiring women simply impossible to fit into a couple of tweets
ahh! no food in the house ,negative,26,ahh no food in the house
North Korean K Jong-il eats LIVE FISH    http://bit.ly/1uloku,negative,61,north korean k jongil eats live fish
watching Pulp Fiction - my fav. film but critically for essay ,negative,62,watching pulp fiction my fav film but critically for essay
I have a feeling Jon &amp; Kate Plus 8 will make me cry ,negative,56,i have a feeling jon amp kate plus will make me cry
i really really really miss you  i hate this math's homework,negative,60,i really really really miss you i hate this maths homework
Grreeeaaaat.  Now I am going to have to give plasma tommrow. Oops ,negative,66,grreeeaaaat now i am going to have to give plasma tommrow oops
@Koppite4004 Oh yes! They're the games I look for first on our fixture list. Then Everton.  ,positive,92,oh yes theyre the games i look for first on our fixture list then everton
Wishes someone would bid on his eBay auction ,negative,45,wishes someone would bid on his ebay auction
ahh it's still sooo hot in here   hopefully they have the AC fixed at work today,negative,80,ahh its still sooo hot in here hopefully they have the ac fixed at work today
@JenLovesJoey yeah he fixed his shirt. i have a pic of him doing it but it's so dark ,negative,85,yeah he fixed his shirt i have a pic of him doing it but its so dark
"@ro05t3r Great I got eyeballed into thisï¿½ quit having fun at my expense, didnï¿½t see that coming ",negative,100,great i got eyeballed into this quit having fun at my expense didnt see that coming
my bread looks like a cookie pie without choc chips  i think it was too watery so it spread out too much,negative,104,my bread looks like a cookie pie without choc chips i think it was too watery so it spread out too much
going to bed i guess. midterm! in the summer tho? just sounds weird  but sleeping alone is even more weird! i need my mickey mouseee back,negative,137,going to bed i guess midterm in the summer tho just sounds weird but sleeping alone is even more weird i need my mickey mouseee back
@blaveder You got facebook? http://tinyurl.com/c44c6r Come join up!  x,positive,70,you got facebook come join up x
Second fabulous day of shooting BTS!! A little behind bc baby wouldn't stop crying ,negative,83,second fabulous day of shooting bts a little behind bc baby wouldnt stop crying
"I want to know your plans, and how involved in them I am, when they raise the landing gear will your heart stay here? ",negative,118,i want to know your plans and how involved in them i am when they raise the landing gear will your heart stay here
"@JaimieH But, you'll get to see him! Lucky beast ",positive,49,but youll get to see him lucky beast
loves @knocom! Yay for giving me THAT ingredient to Level 10 my 2nd dish! Whoooo!  http://plurk.com/p/wh5gy,positive,107,loves yay for giving me that ingredient to level my nd dish whoooo
@peterfacinelli i am so bummed out that u didn't get those 500k followers I &amp; everyone else tried so hard ,negative,110,i am so bummed out that u didnt get those k followers i amp everyone else tried so hard
"@Colorburned my old business card said &quot;Poppen.ca&quot;. I had a few people asking me: &quot;so, do you have a website too?&quot;. Now it's &quot;www.&quot; ",positive,162,my old business card said quotpoppencaquot i had a few people asking me quotso do you have a website tooquot now its quot
@AlextheStrange i have no idea ,negative,31,i have no idea
I see we have a Doug vs. Rugrat beef on tumblr. - y-n0t: canât we enjoy both.  i just wanted to see CATDOG... http://tumblr.com/x0m24qa9r,negative,139,i see we have a doug vs rugrat beef on tumblr ynt cant we enjoy both i just wanted to see catdog
"@secondpower Here's hoping somehow you show up on RAW tonight, but my hope dissolved when I saw your merch on clearance on wweshop.com ",negative,135,heres hoping somehow you show up on raw tonight but my hope dissolved when i saw your merch on clearance on wweshopcom
hay fever is bloody bad today ,negative,30,hay fever is bloody bad today
Oh my computer got sick ,negative,24,oh my computer got sick
lost my tennis match ,negative,21,lost my tennis match
@restey11 ahh ur so sweet ,positive,26,ahh ur so sweet
"@Angel42579 Awwww, that sounds so sad ",negative,38,a that sounds so sad
wishes she had more kaluha ,negative,27,wishes she had more kaluha
@attitude that's what good karma gets you! ,positive,43,thats what good karma gets you
@TwinkleToesUK Awwww I am sure there could be worse backsides to look at ,positive,73,a i am sure there could be worse backsides to look at
does not know what i am doing here lol ,positive,39,does not know what i am doing here lol
@Fearnecotton thats so cool...id listen to it but we dont get it over here ,negative,75,thats so coolid listen to it but we dont get it over here
"@CatherineAD Really enjoyed watching that, nice work ",positive,53,really enjoyed watching that nice work
@miraclebabe1 but i want to the 8 ball wouldnt even answer me when i asked if i would be single forever ! ,negative,106,but i want to the ball wouldnt even answer me when i asked if i would be single forever
@jillhanner Looking BEAUTIFUL Jill! You got Style from here to a Mile! ,positive,71,looking beautiful jill you got style from here to a mile
"@rem ya, I'm more into trying to fix the incorrect rez images, which uses up a lot of bandwidth and memory for Twitter desktop clients ",negative,135,ya im more into trying to fix the incorrect rez images which uses up a lot of bandwidth and memory for twitter desktop clients
Cleaning out the bunnies cage. Not sure keeping her is the right thing she is great but too much with three dogs. ,negative,114,cleaning out the bunnies cage not sure keeping her is the right thing she is great but too much with three dogs
all alone at home so just thinking of various ways for time pass....filhal planning for betting in todays game  so busy making my team,positive,134,all alone at home so just thinking of various ways for time passfilhal planning for betting in todays game so busy making my team
@voluntas do the arithmetic before you measure ,positive,47,do the arithmetic before you measure
is (tears)  (doh) http://plurk.com/p/suab6,negative,42,is tears doh
"@danieljohnsonjr THos to whom much communion is given, much is expected. It's the &quot;Spiderman Rule&quot;  #cincychurch",positive,122,thos to whom much communion is given much is expected its the quotspiderman rulequot cincychurch
wonderful getaway with my lover. precious ,positive,42,wonderful getaway with my lover precious
math test was lame. impossible. too good it won't affect my grades  i'm editing our mexican short film now! ARRIBA!,positive,115,math test was lame impossible too good it wont affect my grades im editing our mexican short film now arriba
"@wazaroff this morning was rough after last night's festivities   met lots of great people though, thanks for organizing the event!",positive,131,this morning was rough after last nights festivities met lots of great people though thanks for organizing the event
@naxareth huggles for a stressful day!  i still got a long way to go hmpft. **closes eyes in panic**,positive,100,huggles for a stressful day i still got a long way to go hmpft closes eyes in panic
@cinemabizarre http://twitpic.com/3gbo1 - I want this album!!! in my country .. do not sell the disks!   :'(,negative,108,i want this album in my country do not sell the disks
SO FRUSTRATED. Can't work out why this is happening. Very annoyed. Clearly I depend far too much on internets. ,negative,111,so frustrated cant work out why this is happening very annoyed clearly i depend far too much on internets
@JoelMadden Dude. The show sounds good ,positive,39,dude the show sounds good
"@georgethepie That's not nice  I am only occasionally gay for Imogen from Big Brother 7, Yasmin Bleethe from Baywatch and Katy Perry!",negative,133,thats not nice i am only occasionally gay for imogen from big brother yasmin bleethe from baywatch and katy perry
"@nickraptis hey!  that was fast, it's only been 2 days since we talked about pointers and you're already using scanf() ",positive,119,hey that was fast its only been days since we talked about pointers and youre already using scanf
No Goldsprints tonight!!!   ,negative,28,no goldsprints tonight
@joeypage Haha wow. Have fun! ,positive,30,haha wow have fun
"Oops, IE misses the mark in text-indent for input elements ",negative,59,oops ie misses the mark in textindent for input elements
Eating peanut butter out the jar ,negative,33,eating peanut butter out the jar
@silverraindog Guess thats what cousins are! Tell him hi and Thanks ,positive,68,guess thats what cousins are tell him hi and thanks
"@taijipedia - you're right, completely insane! Yet brings a smile to our faces ",positive,79,youre right completely insane yet brings a smile to our faces
i own at chess ,positive,15,i own at chess
@pnchailton omg i just saw your youtube I cant believe they hacked you ,negative,71,omg i just saw your youtube i cant believe they hacked you
another beat game ,positive,18,another beat game
"Flying back tomorrow, will be sad to leave the new baby ",negative,56,flying back tomorrow will be sad to leave the new baby
is looking at blue skies and hoping the weather stays kind for this week of our hols ,positive,85,is looking at blue skies and hoping the weather stays kind for this week of our hols
off to bed. Goodnight! ,positive,23,off to bed goodnight
JUST GOT BACK FROM MY BAND CONTEST THAT WAS FUN!!! AND SOMEONE GOT SICK DURING THE LAST SONG ,negative,93,just got back from my band contest that was fun and someone got sick during the last song
@TraceCyrus  Well said. ,positive,24,well said
Knew this wasn't a good-news day. ,negative,34,knew this wasnt a goodnews day
feeling sick without my phone ,negative,30,feeling sick without my phone
stay with it bro  @burakyist,positive,28,stay with it bro
@siriuslyheather i'm prolly gonna rock dresses all summer b/c they're the only thing that fits right now. and they show off my boobs ,positive,133,im prolly gonna rock dresses all summer bc theyre the only thing that fits right now and they show off my boobs
Missing all my TV Shows.......   ,negative,33,missing all my tv shows
"It's been such a chaotic day! I've barely drank my SlimFasts all day, &amp; I still have a million things to do for our Thursday event ",negative,135,its been such a chaotic day ive barely drank my slimfasts all day amp i still have a million things to do for our thursday event
Aww @cieloalonzo misses us! She really does!!!! ,positive,48,aww misses us she really does
...watching tatort ,positive,19,watching tatort
Chatting with my bestie @miizgemiinii talking bout so much  oh &amp; i'm jamming too....Lol,positive,91,chatting with my bestie talking bout so much oh amp im jamming toolol
@l2ichal2d that's a given bitch cuz ill be there  me &gt; vegas... actually not ,negative,80,thats a given bitch cuz ill be there me gt vegas actually not
Loved the Giganotosaurus Primeval episode !  Sure miss Cutter tho  ,negative,67,loved the giganotosaurus primeval episode sure miss cutter tho
Im sooo bummed its so hot out here and I cant even go in the pool because my sister and her husband has let the pool  get ruined!!!  ,negative,133,im sooo bummed its so hot out here and i cant even go in the pool because my sister and her husband has let the pool get ruined
"@Samihajal indeed, but since when you into overnights? ",positive,55,indeed but since when you into overnights
"Awe....923,400   Maybe next time.",negative,33,awe maybe next time
@mealienprobeu: @jenjenjenn and I! At a goth birthday party ^.^ I'm in no dressup now ,negative,86,and i at a goth birthday party im in no dressup now
"@ClayPierce Thx 4 the invite Clay, your song was beautiful, &amp; your son very handsome. My heart is sad 4 u. Wish I could give u a big hug. ",positive,142,thx the invite clay your song was beautiful amp your son very handsome my heart is sad u wish i could give u a big hug
is just laying here on twitter trying to talk to people &lt;/3 talk back ,negative,73,is just laying here on twitter trying to talk to people lt talk back
"Wow how did #Tony #Stewart pull that one off! Damn he saved gas on that run, too bad #Carl #Edwards was just short finishing 2nd ",negative,129,wow how did tony stewart pull that one off damn he saved gas on that run too bad carl edwards was just short finishing nd
"@BrokenStruggle Good idea! This year must take less stuff, I always say it but rucksack always so heavy, not getting any younger ",negative,129,good idea this year must take less stuff i always say it but rucksack always so heavy not getting any younger
My back's really sore and I'm supposed to be dancing tonight ,negative,61,my backs really sore and im supposed to be dancing tonight
@MarciaDotCom that is weird...what's sad is I'm so old I can almost remember Johnny Carson hosting The Tonight Show. ,negative,117,that is weirdwhats sad is im so old i can almost remember johnny carson hosting the tonight show
went shopping...again.... more $$$$$$$ spent.... ,negative,49,went shoppingagain more spent
@formerexaminer Drat! You beat me to the SSI garnishment issue.  I have an upcoming post on this. But yours is a great article!,positive,127,drat you beat me to the ssi garnishment issue i have an upcoming post on this but yours is a great article
Is setting off for cornwall ,negative,28,is setting off for cornwall
Lol! Well at least yall got some rest  @KSTARRSD,positive,48,lol well at least yall got some rest
"Told Verizon not to send anyone before 11. He showed up at 10. Gotta deal with this bullshit now, dunno how long I'll be offline. ",negative,130,told verizon not to send anyone before he showed up at gotta deal with this bullshit now dunno how long ill be offline
"I woke up so late.... Not a good start to a long day!!  in Moore, OK http://loopt.us/jYWbzg.t",negative,93,i woke up so late not a good start to a long day in moore ok
I've accomplished nothing but eating my cereal so far.  This is starting out to be one lazy day!  Too bad I can't go to the pool today... ,negative,138,ive accomplished nothing but eating my cereal so far this is starting out to be one lazy day too bad i cant go to the pool today
@troyjh whats shepards pie without the potato??? ,negative,49,whats shepards pie without the potato
"@likelyto Hiya, thanks for the follow  Happy twittering*",positive,56,hiya thanks for the follow happy twittering
Getting ready for a day of shopping in Ghent. Hope the weather won't s*ck for once ,positive,83,getting ready for a day of shopping in ghent hope the weather wont sck for once
It's alright ...... my ego got a bit carried away there ....... now back in control - phew! Got a bit scary there for a minute ,positive,127,its alright my ego got a bit carried away there now back in control phew got a bit scary there for a minute
"@checkeredxx I miss you, too!  So much.",negative,39,i miss you too so much
@pranaydewan thank for the ff love ,positive,35,thank for the ff love
@mand516  I can only be so offended when your comments sound like tweety bird is talking ,positive,89,i can only be so offended when your comments sound like tweety bird is talking
@Me_Hannah will do Hannah I want to keep in contact with SOME people anyway  bye for now xxx,positive,92,will do hannah i want to keep in contact with some people anyway bye for now xxx
has crammed enough Congress into my brain as possible...kinda pissed about the Magic game..and going to force myself to take my exam now ,negative,137,has crammed enough congress into my brain as possiblekinda pissed about the magic gameand going to force myself to take my exam now
@nathos funny and rather improv everywhere inspired! ,positive,53,funny and rather improv everywhere inspired
"Slept in till 3pm, hit Desifest purely for food and avoided the desis, watched UP in 3d and had  BLAST! &quot;I just met you and I love you&quot;. ",positive,147,slept in till pm hit desifest purely for food and avoided the desis watched up in d and had blast quoti just met you and i love youquot
Omg i just had a scary dream :'( now i cant sleep ,negative,50,omg i just had a scary dream now i cant sleep
@paranormalTV either that or I'd hang out in Washington and play dirty tricks on all the dirty politicians! ,positive,108,either that or id hang out in washington and play dirty tricks on all the dirty politicians
@Alicia_AH Did Bobbt Long sang last night in Berlin ?? I wanted to se hi too  I'm so pissed off i couldn't  I love him music,negative,124,did bobbt long sang last night in berlin i wanted to se hi too im so pissed off i couldnt i love him music
@laurakim123 Morning Lau!  How's your Monday going so far? ,positive,59,morning lau hows your monday going so far
"@andreakremer  Yeah, I don't like having BOYS at my gym.  ",positive,58,yeah i dont like having boys at my gym
@mileycyrus the first love is unique but the others are bests  i remeber u  for this quote,positive,90,the first love is unique but the others are bests i remeber u for this quote
hi my boyfriend is going to california'm sad  :,negative,47,hi my boyfriend is going to californiam sad
It doesn't get easier ,negative,22,it doesnt get easier
http://twitpic.com/66wh4 - it was so funny.. i couldnt stop laughing  i love u soo much ,positive,88,it was so funny i couldnt stop laughing i love u soo much
@ohyesitstiff yea im good now... well now i want my boo ,negative,56,yea im good now well now i want my boo
The food in Paine College cafe was horrible today....they fallin' off fa real fa' real...cant wait til I go home and cook some real food ,positive,137,the food in paine college cafe was horrible todaythey fallin off fa real fa realcant wait til i go home and cook some real food
"@eratyptin sorry, yes... my company name is my screen name... i had gone out for food.  back now.  ",positive,99,sorry yes my company name is my screen name i had gone out for food back now
"(@Trina_Lawrence) Note to self: Stop talking to yourself. Signed, yourself ",positive,75,note to self stop talking to yourself signed yourself
@blindllama if you stay longer I won't get to see you ,negative,54,if you stay longer i wont get to see you
"@MariahCarey goodmerntin! I am @ work, make it happen &amp; someday was on earlier yay! I have a sore tooth also! ",negative,114,goodmerntin i am work make it happen amp someday was on earlier yay i have a sore tooth also
Just finished foraging at Whole Foods - I'm making _amazing_ museli where I know all the ingredients and none of them are gluten ,positive,129,just finished foraging at whole foods im making amazing museli where i know all the ingredients and none of them are gluten
"@nonduality Actually, it was review of yours which finally convinced me to buy a deck ",positive,86,actually it was review of yours which finally convinced me to buy a deck
I just realised that I've lost my little Einstein for ages now ,negative,63,i just realised that ive lost my little einstein for ages now
Ha ha got all excited because I got a new text then realised it was from service provider ,negative,90,ha ha got all excited because i got a new text then realised it was from service provider
@joelmadden http://twitpic.com/6bm2v - Harlow!!! cute hair ,positive,59,harlow cute hair
"@prxi Yeah, I saw it coming tho. Asshole move Brian K. Vaughn. ",negative,63,yeah i saw it coming tho asshole move brian k vaughn
"@_emp Nah, we're good enough buddies I don't have to worry about that! ",positive,71,nah were good enough buddies i dont have to worry about that
@LeylaE Hi! i cant upload a picture  help me...,negative,47,hi i cant upload a picture help me
"@ossobear In the cookie jar, of course ",positive,39,in the cookie jar of course
laying with my boyfriend....awesome ,positive,36,laying with my boyfriendawesome
@imbarbarella Yep! It's my city!  One of the 100 beaches! Still uploading two more pics. It takes some time twitpic! ;-),positive,120,yep its my city one of the beaches still uploading two more pics it takes some time twitpic
OK I know its only 11:15 but I'm starting to miss the twins trashing the house already ,negative,87,ok i know its only but im starting to miss the twins trashing the house already
